item_order,node_id,node_name,source_locator_summary,source_support,scope_fit,granularity,diagnostic_usefulness,rubric_quality,decision,proposed_change,rationale,review_minutes
1,statistical_learning_as_estimating_an_unknown_function,Statistical Learning as Estimating an Unknown Function,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 1), Chapter 2, Section 2.1",,,,,,,,,
2,prediction_and_inference_objectives,Prediction and Inference Objectives,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 1), Chapter 2, Section 2.1.1, Prediction | islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 1), Chapter 2, Section 2.1.1, Inference",,,,,,,,,
3,reducible_and_irreducible_prediction_error,Reducible and Irreducible Prediction Error,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 1), Chapter 2, Section 2.1.1, Prediction",,,,,,,,,
4,parametric_and_non_parametric_statistical_learning_methods,Parametric and Non-parametric Statistical Learning Methods,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 1), Chapter 2, Section 2.1.2, Parametric Methods | islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 1), Chapter 2, Section 2.1.2, Non-Parametric Methods",,,,,,,,,
5,model_flexibility_and_interpretability_trade_off,Model Flexibility and Interpretability Trade-Off,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 1), Chapter 2, Section 2.1.3",,,,,,,,,
6,training_mse_and_test_mse,Training MSE and Test MSE,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 1), Chapter 2, Section 2.2.1",,,,,,,,,
7,overfitting,Overfitting,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 1), Chapter 2, Section 2.2.1",,,,,,,,,
8,bias_variance_trade_off,Bias-Variance Trade-Off,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 1), Chapter 2, Section 2.2.2",,,,,,,,,
9,simple_linear_regression_model,Simple Linear Regression Model,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 1), Chapter 3, Section 3.1",,,,,,,,,
10,least_squares_fitting_and_residual_sum_of_squares,Least Squares Fitting and Residual Sum of Squares,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 1), Chapter 3, Section 3.1.1",,,,,,,,,
11,standard_error_of_regression_coefficients,Standard Error of Regression Coefficients,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 2), Section 3.1, pp. 75-76",,,,,,,,,
12,confidence_intervals_and_prediction_intervals_in_regression,Confidence Intervals and Prediction Intervals in Regression,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 2), Sections 3.1.2 and 3.2.2, pp. 75-76, 89-90",,,,,,,,,
13,regression_hypothesis_tests_for_association,Regression Hypothesis Tests for Association,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 2), Section 3.1.2, pp. 76-77 | islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 2), Section 3.2.2, pp. 84-86",,,,,,,,,
14,regression_fit_measures_residual_standard_error_and_r_squared,Regression Fit Measures: Residual Standard Error and R-squared,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 2), Section 3.1.3, pp. 78-79 | islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 2), Section 3.1.3, pp. 78-80",,,,,,,,,
15,multiple_linear_regression_coefficient_interpretation,Multiple Linear Regression Coefficient Interpretation,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 2), Sections 3.2 and 3.2.1, pp. 80-83",,,,,,,,,
16,dummy_variables_for_qualitative_predictors,Dummy Variables for Qualitative Predictors,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 2), Section 3.3.1, pp. 91-94",,,,,,,,,
17,interaction_effects_and_the_additive_assumption,Interaction Effects and the Additive Assumption,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 2), Section 3.3.2, pp. 94-98",,,,,,,,,
18,polynomial_regression_for_non_linear_relationships,Polynomial Regression for Non-linear Relationships,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 2), Section 3.3.2, pp. 98-100",,,,,,,,,
19,collinearity_and_variance_inflation_factor,Collinearity and Variance Inflation Factor,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 2), Section 3.3.3, pp. 106-109",,,,,,,,,
20,residual_diagnostics_and_regression_assumptions,Residual Diagnostics and Regression Assumptions,"islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 2), Section 3.3.3 Potential Problems, pp. 100-107",,,,,,,,,
21,outliers_high_leverage_and_influential_observations,"Outliers, High-Leverage, and Influential Observations","islp_statistical_learning_foundations_md_v1: Experiment Scope: Statistical Learning Foundations (part 2), Section 3.3.3 Potential Problems, pp. 100-107",,,,,,,,,
