question_id,domain,set,provisional_target_concept,reviewed_target_node_ids,question_type,diagnostic_boundary,prompt,source_basis,review_status
ISLP_A01,ISLP,A,statistical_learning_function_model,,scenario_explanation,L1-L4,"A shop records advertising spend, season, and weekly sales. In a statistical-learning model, identify the predictors, response, unknown function, and error term, and explain what each represents.",ISLP_representative_task_01,pending_reviewed_graph_binding
ISLP_A02,ISLP,A,prediction_versus_inference_objectives,,comparison,L2-L5,"A hospital wants both accurate risk estimates and an explanation of which measurements are associated with risk. Which part is prediction and which is inference, and why might the modeling choices differ?",ISLP_representative_tasks_02_04,pending_reviewed_graph_binding
ISLP_A03,ISLP,A,reducible_and_irreducible_prediction_error,,concept_explanation,L1-L4,"Explain the difference between reducible and irreducible prediction error. Give one concrete example of each and say which one a better model can reduce.",ISLP_representative_tasks_03_19,pending_reviewed_graph_binding
ISLP_A04,ISLP,A,parametric_versus_non_parametric_methods,,method_comparison,L2-L5,"Compare a parametric and a non-parametric approach for estimating a predictor-response relationship. Discuss assumptions, flexibility, data needs, and what must be learned from data.",ISLP_representative_tasks_05_06,pending_reviewed_graph_binding
ISLP_A05,ISLP,A,model_flexibility_interpretability_and_overfitting,,diagnosis,L2-L5,"A very flexible model has almost zero training error but much worse test error than a simpler model. Diagnose what is happening and explain how flexibility and interpretability enter the decision.",ISLP_representative_tasks_07_10,pending_reviewed_graph_binding
ISLP_A06,ISLP,A,supervised_versus_unsupervised_learning,,classification,L1-L4,"Two datasets contain the same customer features, but only one includes a known outcome to predict. Which learning setup is supervised and which is unsupervised? Explain the role of the response variable.",ISLP_representative_task_11,pending_reviewed_graph_binding
ISLP_A07,ISLP,A,regression_versus_classification_problems,,classification,L1-L4,"Decide whether predicting house price and predicting whether a loan defaults are regression or classification problems. Base your answer on the response, not the algorithm name.",ISLP_representative_task_12,pending_reviewed_graph_binding
ISLP_A08,ISLP,A,training_mse_and_test_mse,,calculation_explanation,L2-L5,"Given observed values 3, 5, 7 and model predictions 2, 5, 9, compute the MSE. Then explain how the meaning changes if these cases are training data versus held-out test data.",ISLP_representative_tasks_13_15,pending_reviewed_graph_binding
ISLP_A09,ISLP,A,bias_variance_trade_off,,concept_application,L2-L5,"Two models have similar average test error. One changes greatly across training samples and the other is consistently too simple. Explain the likely variance and bias of each and how flexibility affects them.",ISLP_representative_tasks_16_20,pending_reviewed_graph_binding
ISLP_A10,ISLP,A,k_nearest_neighbors_flexibility,,parameter_reasoning,L2-L5,"For K-nearest neighbors, compare using K=1 with using a much larger K. Explain how K changes flexibility, bias, variance, and the risk of fitting noise.",ISLP_representative_tasks_21_22,pending_reviewed_graph_binding
ISLP_A11,ISLP,A,simple_linear_regression_and_least_squares_fitting,,formulation,L2-L5,"Write a simple linear-regression model for outcome Y and predictor X. Distinguish population coefficients from fitted estimates and explain what least squares minimizes.",ISLP_representative_tasks_23_26,pending_reviewed_graph_binding
ISLP_A12,ISLP,A,regression_coefficient_uncertainty_and_hypothesis_tests,,inference,L2-L5,"For a fitted slope, explain what its standard error, confidence interval, and p-value each tell you. State a suitable null hypothesis and one conclusion a small p-value does not justify.",ISLP_representative_tasks_35_38,pending_reviewed_graph_binding
ISLP_A13,ISLP,A,residual_standard_error,,interpretation,L1-L4,"What does residual standard error estimate in a linear model? Explain what a large value means in the response's units and how it differs from one observation's residual.",ISLP_representative_tasks_26_28,pending_reviewed_graph_binding
ISLP_A14,ISLP,A,r_squared_statistic,,interpretation_critique,L2-L5,"Interpret an R-squared value of 0.80. What does it say about the fitted sample, and what does it not establish about causation or future prediction?",ISLP_representative_tasks_29_31,pending_reviewed_graph_binding
ISLP_A15,ISLP,A,multiple_linear_regression_coefficient_interpretation,,interpretation,L2-L5,"In a regression of salary on experience and education, explain how to interpret the experience coefficient. Why can it differ from the slope in a separate regression using experience alone?",ISLP_representative_tasks_32_34,pending_reviewed_graph_binding
ISLP_A16,ISLP,A,confidence_intervals_versus_prediction_intervals,,comparison,L2-L5,"At the same predictor values, compare a confidence interval for the mean response with a prediction interval for one new observation. Which is wider and why?",ISLP_representative_tasks_39_40,pending_reviewed_graph_binding
ISLP_A17,ISLP,A,qualitative_predictors_and_dummy_variables,,model_encoding,L2-L5,"A predictor has categories red, green, and blue. Show how it can enter a regression model with indicator variables, identify the reference category, and interpret one coefficient.",ISLP_representative_task_49,pending_reviewed_graph_binding
ISLP_A18,ISLP,A,interaction_effects_and_the_additive_assumption,,model_interpretation,L2-L5,"A model includes X1, X2, and X1 times X2. Explain what the interaction means and why the effect of X1 can no longer be described by one constant coefficient.",ISLP_representative_tasks_47_48,pending_reviewed_graph_binding
ISLP_A19,ISLP,A,residual_plot_diagnosis_of_non_linearity,,diagnostic_reasoning,L2-L5,"A residual plot shows a clear U-shaped pattern around zero. Diagnose the problem, explain which assumption is challenged, and suggest the kind of model change to investigate.",ISLP_representative_task_41,pending_reviewed_graph_binding
ISLP_A20,ISLP,A,outliers_and_high_leverage_observations,,diagnostic_comparison,L2-L5,"Explain the difference among an outlier, a high-leverage point, and an influential observation. Can one observation have only one of these properties?",ISLP_representative_tasks_43_45,pending_reviewed_graph_binding
ISLP_A21,ISLP,A,collinearity_and_variance_inflation,,diagnosis,L2-L5,"Two predictors in a multiple regression are strongly correlated. Explain how this affects coefficient uncertainty and why the model can predict reasonably while individual coefficients remain unstable.",ISLP_representative_task_46,pending_reviewed_graph_binding
