question_id,domain,set,provisional_target_concept,reviewed_target_node_ids,question_type,diagnostic_boundary,prompt,source_basis,review_status
ISLP_B01,ISLP,B,statistical_learning_function_model,,transfer_scenario,L1-L4,"A city predicts commute time from distance, departure time, and weather. Describe the statistical-learning relationship using X, f, and an error term, and explain why two identical X values might still have different outcomes.",ISLP_representative_task_01,pending_reviewed_graph_binding
ISLP_B02,ISLP,B,prediction_versus_inference_objectives,,decision_scenario,L2-L5,"A company asks whether discounts cause higher sales, while another team only wants next week's best sales forecast. Identify the primary objective in each case and discuss one modeling consequence.",ISLP_representative_tasks_02_04,pending_reviewed_graph_binding
ISLP_B03,ISLP,B,reducible_and_irreducible_prediction_error,,boundary_explanation,L1-L4,"Suppose a predictor uses every relevant recorded feature but outcomes still vary. Explain why irreducible error may remain and how you would recognize improvement in the reducible part.",ISLP_representative_tasks_03_19,pending_reviewed_graph_binding
ISLP_B04,ISLP,B,parametric_versus_non_parametric_methods,,small_data_choice,L2-L5,"You have a small noisy dataset and must choose between a simple assumed functional form and a highly flexible local method. Compare the risks and justify what additional evidence would guide your choice.",ISLP_representative_tasks_05_10,pending_reviewed_graph_binding
ISLP_B05,ISLP,B,model_flexibility_interpretability_and_overfitting,,curve_interpretation,L2-L5,"As model complexity rises, training error keeps falling while validation error first falls and then rises. Explain the pattern and how you would choose a model if interpretation is also important.",ISLP_representative_tasks_07_10_16,pending_reviewed_graph_binding
ISLP_B06,ISLP,B,supervised_versus_unsupervised_learning,,method_boundary,L1-L4,"A researcher groups documents by word patterns without labels and later predicts a known topic label. Explain which stage is unsupervised and which is supervised.",ISLP_representative_task_11,pending_reviewed_graph_binding
ISLP_B07,ISLP,B,regression_versus_classification_problems,,response_reasoning,L1-L4,"An algorithm outputs both the probability of disease and a yes-or-no diagnosis. Explain why the underlying target makes this primarily a classification task even though one output is numeric.",ISLP_representative_task_12,pending_reviewed_graph_binding
ISLP_B08,ISLP,B,training_mse_and_test_mse,,generalization_reasoning,L2-L5,"Model A has training MSE 2 and test MSE 12; Model B has training MSE 5 and test MSE 7. Which better generalizes, and what can and cannot be concluded from these four numbers?",ISLP_representative_tasks_14_15,pending_reviewed_graph_binding
ISLP_B09,ISLP,B,bias_variance_trade_off,,sampling_reasoning,L2-L5,"A fitted curve changes dramatically when a few training cases are replaced. Relate this behavior to variance, bias, and expected test error, then name one possible response.",ISLP_representative_tasks_17_20,pending_reviewed_graph_binding
ISLP_B10,ISLP,B,k_nearest_neighbors_flexibility,,prediction_reasoning,L2-L5,"A KNN model uses a very small K in a region with noisy labels. Predict how increasing K could change its decision boundary and test behavior, including one possible downside.",ISLP_representative_tasks_21_22,pending_reviewed_graph_binding
ISLP_B11,ISLP,B,simple_linear_regression_and_least_squares_fitting,,coefficient_reasoning,L2-L5,"For fitted equation y-hat = 10 + 2x, interpret both coefficients in context, define the residual for one case, and explain why the residual is not the same as the population error term.",ISLP_representative_tasks_23_26,pending_reviewed_graph_binding
ISLP_B12,ISLP,B,regression_coefficient_uncertainty_and_hypothesis_tests,,critical_inference,L2-L5,"A slope estimate is 1.2 with a 95% confidence interval from -0.1 to 2.5. Explain what this suggests about the usual zero-slope test and why it does not prove no relationship exists.",ISLP_representative_tasks_35_38,pending_reviewed_graph_binding
ISLP_B13,ISLP,B,residual_standard_error,,model_comparison,L1-L4,"Two response variables use different units, and their regressions have residual standard errors 3 and 20. Explain why the raw numbers alone do not tell which model fits better.",ISLP_representative_task_28,pending_reviewed_graph_binding
ISLP_B14,ISLP,B,r_squared_statistic,,failure_case,L2-L5,"A model reports R-squared 0.95 but performs poorly on new data. Give plausible reasons and explain why R-squared alone is not a generalization metric.",ISLP_representative_tasks_29_30,pending_reviewed_graph_binding
ISLP_B15,ISLP,B,multiple_linear_regression_coefficient_interpretation,,confounding_reasoning,L2-L5,"A predictor has a positive slope alone but a negative coefficient after another correlated predictor is added. Explain how this can happen without saying that one estimate must be a software error.",ISLP_representative_tasks_33_34,pending_reviewed_graph_binding
ISLP_B16,ISLP,B,confidence_intervals_versus_prediction_intervals,,application,L2-L5,"You need uncertainty for the average demand of similar stores and for demand at one new store. State which interval answers each question and why their widths differ.",ISLP_representative_tasks_39_40,pending_reviewed_graph_binding
ISLP_B17,ISLP,B,qualitative_predictors_and_dummy_variables,,reference_change,L2-L5,"A regression uses three region indicators incorrectly together with an intercept. Explain the redundancy, how to choose a reference region, and how changing the reference affects fitted values.",ISLP_representative_task_49,pending_reviewed_graph_binding
ISLP_B18,ISLP,B,interaction_effects_and_the_additive_assumption,,transfer_interpretation,L2-L5,"A treatment effect becomes larger as baseline risk increases. Explain how an interaction term can represent this and contrast it with an additive model.",ISLP_representative_tasks_47_48,pending_reviewed_graph_binding
ISLP_B19,ISLP,B,residual_plot_diagnosis_of_non_linearity,,alternative_diagnosis,L2-L5,"Residuals fan out as fitted values increase but show no curve. Identify the main issue, distinguish it from non-linearity, and state what part of linear-model reasoning it threatens.",ISLP_representative_task_42,pending_reviewed_graph_binding
ISLP_B20,ISLP,B,outliers_and_high_leverage_observations,,case_comparison,L2-L5,"Case A has an unusual predictor value but lies near the fitted line; Case B has ordinary predictors but a very large residual. Classify their leverage and outlier status and discuss possible influence.",ISLP_representative_tasks_43_45,pending_reviewed_graph_binding
ISLP_B21,ISLP,B,collinearity_and_variance_inflation,,remedy_reasoning,L2-L5,"A regression gives large standard errors for two related predictors, but their joint F-test is strong. Explain how collinearity can produce this pattern and what not to conclude about their joint predictive value.",ISLP_representative_task_46,pending_reviewed_graph_binding
