item_type,item_id,reviewer_1_decision,reviewer_2_decision,disagreement_fields,final_decision,final_edit,adjudication_rationale,adjudicator_code,adjudication_date
node,statistical_learning_as_estimating_an_unknown_function,,,,,,,,
node,prediction_and_inference_objectives,,,,,,,,
node,reducible_and_irreducible_prediction_error,,,,,,,,
node,parametric_and_non_parametric_statistical_learning_methods,,,,,,,,
node,model_flexibility_and_interpretability_trade_off,,,,,,,,
node,training_mse_and_test_mse,,,,,,,,
node,overfitting,,,,,,,,
node,bias_variance_trade_off,,,,,,,,
node,simple_linear_regression_model,,,,,,,,
node,least_squares_fitting_and_residual_sum_of_squares,,,,,,,,
node,standard_error_of_regression_coefficients,,,,,,,,
node,confidence_intervals_and_prediction_intervals_in_regression,,,,,,,,
node,regression_hypothesis_tests_for_association,,,,,,,,
node,regression_fit_measures_residual_standard_error_and_r_squared,,,,,,,,
node,multiple_linear_regression_coefficient_interpretation,,,,,,,,
node,dummy_variables_for_qualitative_predictors,,,,,,,,
node,interaction_effects_and_the_additive_assumption,,,,,,,,
node,polynomial_regression_for_non_linear_relationships,,,,,,,,
node,collinearity_and_variance_inflation_factor,,,,,,,,
node,residual_diagnostics_and_regression_assumptions,,,,,,,,
node,outliers_high_leverage_and_influential_observations,,,,,,,,
edge,edge_statistical_learning_as_estimating_an_unknown_function_prerequisite_for_prediction_and_inference_objectives,,,,,,,,
edge,edge_statistical_learning_as_estimating_an_unknown_function_prerequisite_for_reducible_and_irreducible_prediction_error,,,,,,,,
edge,edge_statistical_learning_as_estimating_an_unknown_function_prerequisite_for_parametric_and_non_parametric_statistical_learning_methods,,,,,,,,
edge,edge_prediction_and_inference_objectives_supports_model_flexibility_and_interpretability_trade_off,,,,,,,,
edge,edge_parametric_and_non_parametric_statistical_learning_methods_supports_model_flexibility_and_interpretability_trade_off,,,,,,,,
edge,edge_prediction_and_inference_objectives_supports_training_mse_and_test_mse,,,,,,,,
edge,edge_training_mse_and_test_mse_prerequisite_for_overfitting,,,,,,,,
edge,edge_reducible_and_irreducible_prediction_error_prerequisite_for_bias_variance_trade_off,,,,,,,,
edge,edge_model_flexibility_and_interpretability_trade_off_supports_overfitting,,,,,,,,
edge,edge_model_flexibility_and_interpretability_trade_off_prerequisite_for_bias_variance_trade_off,,,,,,,,
edge,edge_training_mse_and_test_mse_prerequisite_for_bias_variance_trade_off,,,,,,,,
edge,edge_bias_variance_trade_off_supports_overfitting,,,,,,,,
edge,edge_parametric_and_non_parametric_statistical_learning_methods_supports_simple_linear_regression_model,,,,,,,,
edge,edge_simple_linear_regression_model_prerequisite_for_least_squares_fitting_and_residual_sum_of_squares,,,,,,,,
edge,edge_simple_linear_regression_model_prerequisite_for_multiple_linear_regression_coefficient_interpretation,,,,,,,,
edge,edge_least_squares_fitting_and_residual_sum_of_squares_prerequisite_for_regression_fit_measures_residual_standard_error_and_r_squared,,,,,,,,
edge,edge_standard_error_of_regression_coefficients_prerequisite_for_confidence_intervals_and_prediction_intervals_in_regression,,,,,,,,
edge,edge_reducible_and_irreducible_prediction_error_supports_confidence_intervals_and_prediction_intervals_in_regression,,,,,,,,
edge,edge_standard_error_of_regression_coefficients_prerequisite_for_regression_hypothesis_tests_for_association,,,,,,,,
edge,edge_multiple_linear_regression_coefficient_interpretation_prerequisite_for_interaction_effects_and_the_additive_assumption,,,,,,,,
edge,edge_polynomial_regression_for_non_linear_relationships_supports_model_flexibility_and_interpretability_trade_off,,,,,,,,
edge,edge_standard_error_of_regression_coefficients_prerequisite_for_collinearity_and_variance_inflation_factor,,,,,,,,
edge,edge_multiple_linear_regression_coefficient_interpretation_prerequisite_for_collinearity_and_variance_inflation_factor,,,,,,,,
edge,edge_collinearity_and_variance_inflation_factor_supports_regression_hypothesis_tests_for_association,,,,,,,,
edge,edge_least_squares_fitting_and_residual_sum_of_squares_prerequisite_for_residual_diagnostics_and_regression_assumptions,,,,,,,,
edge,edge_residual_diagnostics_and_regression_assumptions_supports_polynomial_regression_for_non_linear_relationships,,,,,,,,
edge,edge_residual_diagnostics_and_regression_assumptions_supports_confidence_intervals_and_prediction_intervals_in_regression,,,,,,,,
edge,edge_least_squares_fitting_and_residual_sum_of_squares_prerequisite_for_outliers_high_leverage_and_influential_observations,,,,,,,,
edge,edge_residual_diagnostics_and_regression_assumptions_supports_outliers_high_leverage_and_influential_observations,,,,,,,,
edge,edge_multiple_linear_regression_coefficient_interpretation_supports_dummy_variables_for_qualitative_predictors,,,,,,,,
representative_task,task_01,,,,,,,,
representative_task,task_02,,,,,,,,
representative_task,task_03,,,,,,,,
representative_task,task_04,,,,,,,,
representative_task,task_05,,,,,,,,
overall_graph,overall_graph,,,,,,,,
