item_order,edge_id,source_node,target_node,proposed_type,rationale_shown_to_reviewer,relation_validity,type_correct,replacement_type,direction_correct,provenance_class,decision,proposed_change,review_rationale,review_minutes
1,edge_statistical_learning_as_estimating_an_unknown_function_prerequisite_for_prediction_and_inference_objectives,statistical_learning_as_estimating_an_unknown_function,prediction_and_inference_objectives,prerequisite_for,"The prediction and inference objectives are framed around estimating and interpreting f or f-hat, so understanding statistical learning as estimating an unknown predictor-response function is needed for stable understanding of the distinction.",,,,,,,,,
2,edge_statistical_learning_as_estimating_an_unknown_function_prerequisite_for_reducible_and_irreducible_prediction_error,statistical_learning_as_estimating_an_unknown_function,reducible_and_irreducible_prediction_error,prerequisite_for,"Reducible error is defined as error from imperfect estimation of f and irreducible error as variation not captured by X, so the unknown-function framing is foundational for the error decomposition.",,,,,,,,,
3,edge_statistical_learning_as_estimating_an_unknown_function_prerequisite_for_parametric_and_non_parametric_statistical_learning_methods,statistical_learning_as_estimating_an_unknown_function,parametric_and_non_parametric_statistical_learning_methods,prerequisite_for,"Parametric and non-parametric methods are alternative approaches to estimating f, distinguished by whether they assume an explicit functional form for that unknown function.",,,,,,,,,
4,edge_prediction_and_inference_objectives_supports_model_flexibility_and_interpretability_trade_off,prediction_and_inference_objectives,model_flexibility_and_interpretability_trade_off,supports,The prediction-versus-inference distinction explains why accuracy-focused settings may tolerate black-box flexibility while inference-focused settings require interpretability of predictor-response relationships.,,,,,,,,,
5,edge_parametric_and_non_parametric_statistical_learning_methods_supports_model_flexibility_and_interpretability_trade_off,parametric_and_non_parametric_statistical_learning_methods,model_flexibility_and_interpretability_trade_off,supports,The contrast between restrictive parametric assumptions and more flexible non-parametric fitting provides concrete method classes for understanding flexibility and interpretability trade-offs.,,,,,,,,,
6,edge_prediction_and_inference_objectives_supports_training_mse_and_test_mse,prediction_and_inference_objectives,training_mse_and_test_mse,supports,Understanding prediction as accurate estimation of unknown responses explains why test MSE on unseen observations is the relevant performance target rather than training MSE alone.,,,,,,,,,
7,edge_training_mse_and_test_mse_prerequisite_for_overfitting,training_mse_and_test_mse,overfitting,prerequisite_for,"Overfitting is defined by the divergence between low training error and worse test performance, so distinguishing training MSE from test MSE is necessary to understand it stably.",,,,,,,,,
8,edge_reducible_and_irreducible_prediction_error_prerequisite_for_bias_variance_trade_off,reducible_and_irreducible_prediction_error,bias_variance_trade_off,prerequisite_for,"The bias-variance trade-off decomposes expected test MSE into variance, squared bias, and irreducible error, so understanding reducible versus irreducible error is foundational.",,,,,,,,,
9,edge_model_flexibility_and_interpretability_trade_off_supports_overfitting,model_flexibility_and_interpretability_trade_off,overfitting,supports,Model flexibility helps explain overfitting because excessively flexible methods can fit noise or chance patterns in the training data and fail to generalize.,,,,,,,,,
10,edge_model_flexibility_and_interpretability_trade_off_prerequisite_for_bias_variance_trade_off,model_flexibility_and_interpretability_trade_off,bias_variance_trade_off,prerequisite_for,"The bias-variance trade-off depends on how model flexibility tends to reduce bias while increasing variance, so the concept of flexibility is needed for stable understanding.",,,,,,,,,
